pratique,sous_pratique,annee,nombre_plaintes
Litiges et manquements,Contestation sur le contrat,2015,2041.0
Régulation concurrentielle des marchés,Transparence et relations inter-entreprises,2017,678.0
Litiges et manquements,Remboursement,2015,1181.0
Régulation concurrentielle des marchés,Pratiques commerciales restrictives - délit civil,2016,54.0
Sécurité du consommateur,Process,2015,666.0
Vie courante,Divers,2017,1583.0
Régulation concurrentielle des marchés,Pratiques anticoncurrentielles et concentrations,2018,61.0
Protection du consommateur,Signes de qualité,2009,37.0
Régulation concurrentielle des marchés,Pratiques commerciales restrictives - délit civil,2018,40.0
Litiges et manquements,Garanties et sav,2010,6851.0
Protection du consommateur,Règles particulières à certains contrats,2015,9178.0
Litiges et manquements,Information du consommateur,2016,4402.0
Sécurité du consommateur,Sécurité des produits non alimentaires,2014,445.0
Régulation concurrentielle des marchés,Pratiques commerciales restrictives - délit civil,2010,35.0
Litiges et manquements,Paiement,2012,7158.0
Infration pénale hors DGCCRF,Escroquerie,2014,2055.0
Régulation concurrentielle des marchés,Pratiques commerciales restrictives - délit civil,2015,45.0
Protection du consommateur,Règles particulières à certains contrats,2014,9421.0
Sécurité du consommateur,Process,2011,517.0
Vie courante,DGCCRF pratique,2014,82.0
Régulation concurrentielle des marchés,Régulation du commerce,2016,3.0
Litiges et manquements,Paiement,2017,5078.0
Protection du consommateur,Information generale  du consommateur et clauses abusives,2015,15089.0
Litiges et manquements,Recours,2011,3190.0
Litiges et manquements,Contestation sur le contrat,2009,1151.0
Régulation concurrentielle des marchés,Transparence et relations inter-entreprises,2018,625.0
Régulation concurrentielle des marchés,Pratiques commerciales restrictives - délit civil,2012,29.0
Protection du consommateur,Services financiers banques assurances et credit,2015,505.0
Litiges et manquements,Recours,2012,1896.0
Sécurité du consommateur,Sécurité des produits non alimentaires,2018,302.0
Régulation concurrentielle des marchés,Pratiques anticoncurrentielles et concentrations,2015,80.0
Sécurité du consommateur,Sécurité des produits non alimentaires,2013,595.0
Vie courante,DGCCRF pratique,2013,36.0
Vie courante,Régles spécifiques au droit immobilier,2013,437.0
Litiges et manquements,Remboursement,2010,914.0
Litiges et manquements,Recours,2010,2537.0
Régulation concurrentielle des marchés,Ventes soumises à autorisation/déclaration et ventes irrégulières,2018,263.0
Régulation concurrentielle des marchés,Pratiques commerciales restrictives  -  délit penal,2011,22.0
Régulation concurrentielle des marchés,Ventes soumises à autorisation/déclaration et ventes irrégulières,2009,312.0
Protection du consommateur,Pratiques commerciales interdites et réglementées,2013,1693.0
Régulation concurrentielle des marchés,Pratiques commerciales restrictives - délit civil,2014,51.0
Protection du consommateur,Règles de loyauté,2009,4665.0
Vie courante,Divers,2009,166.0
Protection du consommateur,Services financiers banques assurances et credit,2016,486.0
Litiges et manquements,Résiliation et reconduction de contrat,2018,2017.0
Vie courante,Divers,2018,1359.0
Litiges et manquements,Remboursement,2014,1499.0
Vie courante,Régles spécifiques au droit bancaire,2016,154.0
Sécurité du consommateur,Sécurité des produits non alimentaires non réglementés (obligation générale de sécurité),2018,89.0
Protection du consommateur,Pratiques commerciales interdites et réglementées,2017,2187.0
Sécurité du consommateur,Sécurité des prestations de service (hors cafés/restaurants),2018,108.0
Litiges et manquements,Garanties et sav,2017,3593.0
Régulation concurrentielle des marchés,Transparence et relations inter-entreprises,2009,1115.0
Vie courante,Divers,2015,1520.0
Régulation concurrentielle des marchés,Pratiques commerciales restrictives - délit civil,2017,52.0
Infration pénale hors DGCCRF,Autre infraction pénale,2016,575.0
Infration pénale hors DGCCRF,Autre infraction pénale,2017,644.0
Régulation concurrentielle des marchés,Ventes soumises à autorisation/déclaration et ventes irrégulières,2012,170.0
Régulation concurrentielle des marchés,Ventes soumises à autorisation/déclaration et ventes irrégulières,2015,362.0
Régulation concurrentielle des marchés,Secteurs à réglementation particulière / prix et tarifs publics,2018,130.0
Sécurité du consommateur,Sécurité des produits non alimentaires,2012,608.0
Infration pénale hors DGCCRF,Autre infraction pénale,2013,237.0
Protection du consommateur,Pratiques commerciales interdites et réglementées,2011,1794.0
Régulation concurrentielle des marchés,Secteurs à réglementation particulière / prix et tarifs publics,2011,183.0
Sécurité du consommateur,Règles particulières de sécurité des produits non alimentaires,2014,179.0
Vie courante,Protection des données et de la vie privée,2016,259.0
Sécurité du consommateur,Sécurité des prestations de service (hors cafés/restaurants),2017,143.0
Protection du consommateur,Information generale  du consommateur et clauses abusives,2014,15951.0
